time_key,col,auc,n
201709,hist_rate_postCode_cat,0.5431141796368507,3963
201710,hist_rate_postCode_cat,0.5462485729093468,3576
201711,hist_rate_postCode_cat,0.5483122429924192,3636
201712,hist_rate_postCode_cat,0.5451725532775542,2909
201801,hist_rate_postCode_cat,0.5318610898503745,2629
201802,hist_rate_postCode_cat,0.526838554118033,2057
201803,hist_rate_postCode_cat,0.5514710178800981,2118
201804,hist_rate_postCode_cat,0.548397435897436,2050
201805,hist_rate_postCode_cat,0.5518880608481869,1979
201806,hist_rate_postCode_cat,0.5612930281198347,1456
201807,hist_rate_postCode_cat,0.5601718066543496,1282
201808,hist_rate_postCode_cat,0.5609364081062194,1044
201809,hist_rate_postCode_cat,0.5093889157143623,711
201810,hist_rate_postCode_cat,0.5352749184032137,597
201811,hist_rate_postCode_cat,0.5509748649283532,482
201812,hist_rate_postCode_cat,0.7150997150997151,356
201601,hist_rate_purpose,0.5363728127241625,8316
201602,hist_rate_purpose,0.5330445740685089,10254
201603,hist_rate_purpose,0.537855059687176,14575
201604,hist_rate_purpose,0.5393376835865282,7093
201605,hist_rate_purpose,0.5195499507246679,5261
201606,hist_rate_purpose,0.5271478646901208,6098
201607,hist_rate_purpose,0.5262168393794595,6453
201608,hist_rate_purpose,0.5290954733318832,6697
201609,hist_rate_purpose,0.529037617949185,5029
201610,hist_rate_purpose,0.5277185333048293,5582
201611,hist_rate_purpose,0.5145037569256458,5713
201612,hist_rate_purpose,0.5145807929845819,5890
201701,hist_rate_purpose,0.5195771185107678,4876
201702,hist_rate_purpose,0.527083322473872,4060
201703,hist_rate_purpose,0.540918062200957,4988
201704,hist_rate_purpose,0.5302066342391105,3881
201705,hist_rate_purpose,0.5332228091910514,4871
201706,hist_rate_purpose,0.5189401877495312,4553
201707,hist_rate_purpose,0.5390570485459769,4366
201708,hist_rate_purpose,0.5394405734778893,4610
201709,hist_rate_purpose,0.5297073029807292,3963
201710,hist_rate_purpose,0.521383305022068,3576
201711,hist_rate_purpose,0.5311737211173804,3636
201712,hist_rate_purpose,0.5406687104809351,2909
201801,hist_rate_purpose,0.5328436172767248,2629
201802,hist_rate_purpose,0.5535613837716215,2057
201803,hist_rate_purpose,0.5454211464298235,2118
